store_name,category,rating,visited_review,blog_review,address,taste_value,menu
포앤드,베트남음식,0.0,"방문자 리뷰 1,144",블로그 리뷰 619,경기 수원시 영통구 청명남로 6 1층 포앤드,0.287,"메뉴: 양지쌀국수, 가격: 11,000원
메뉴: 매운차돌쌀국수, 가격: 13,000원
메뉴: 분짜, 가격: 15,000원
메뉴: 볶음밥, 가격: 11,000원
메뉴: 직화쌀국수, 가격: 12,000원
메뉴: 분보싸오, 가격: 13,000원
메뉴: 미싸오, 가격: 13,000원
메뉴: 코코넛쉬림프, 가격: 5,000원
메뉴: 넴(수제짜조), 가격: 6,000원
메뉴: 치킨가라아게, 가격: 7,000원
메뉴: 모닝글로리, 가격: 8,000원"
홍미집 영통점,닭볶음탕,0.0,방문자 리뷰 556,"블로그 리뷰 1,150",경기 수원시 영통구 청명남로 48-1 1층,0.29,"메뉴: 닭볶음탕(1인분), 가격: 12,900원
메뉴: 투움바로제닭볶음탕(1인분), 가격: 15,500원
메뉴: 순살닭볶음탕+소곱창(1인분), 가격: 17,900원
메뉴: 순살닭볶음탕+차돌(1인분), 가격: 17,900원
메뉴: 마라닭볶음탕(1인분), 가격: 15,500원
메뉴: 순살닭떡볶이(1인분), 가격: 14,900원
메뉴: 런치A세트1인(11시~2시), 가격: 10,000원
메뉴: 런치B세트1인(11시~2시), 가격: 11,000원
메뉴: 홍미커플세트(2~3인), 가격: 46,500원
메뉴: 패밀리세트(4인), 가격: 66,000원
메뉴: 곱도리세트(2~3인), 가격: 46,900원
메뉴: 닭볶이세트(2~3인), 가격: 41,000원"
창식당 영통역점,"찌개,전골",0.0,방문자 리뷰 274,"블로그 리뷰 1,170",경기 수원시 영통구 청명남로28번길 20 플러스타운빌딩 1층 118호,0.329,"메뉴: 창도리탕(곱창+대창+우삼겹)대표, 가격: 35,000원
메뉴: 모듬전골(곱창+대창+우삼겹), 가격: 33,000원
메뉴: 대창 곱도리탕(小 2인), 가격: 32,000원
메뉴: 감자전, 가격: 9,000원
메뉴: 곱창 곱도리탕(小 2인), 가격: 32,000원
메뉴: 소곱창전골(小 2인), 가격: 31,000원
메뉴: 닭도리탕(소 2인), 가격: 26,000원
메뉴: 삼도리탕(小 2인), 가격: 32,000원"
무릉,"<selenium.webdriver.remote.webelement.WebElement (session=""0e0b223148fc359cb602711136e1992f"", element=""f.BDB963A2C365C4F7A51196EEAB318731.d.D19DCD8E22FB283C950085E5F46DDE42.e.37677"")>",0.0,방문자 리뷰 186,블로그 리뷰 52,경기 수원시 영통구 반달로 30 2층,0.253,"메뉴: 히츠마부시, 가격: 30,000원
메뉴: 히츠마부시, 가격: 30,000원
메뉴: 히츠마부시(대), 가격: 36,000원
메뉴: 히츠마부시(특대), 가격: 48,000원
메뉴: 치즈 돈까스, 가격: 15,000원
메뉴: 등심 돈까스, 가격: 14,000원
메뉴: 냉 소바, 가격: 9,000원
메뉴: 온 소바, 가격: 10,000원
메뉴: 소바 면 추가, 가격: 4,000원
메뉴: 소바 육수추가, 가격: 4,500원
메뉴: 도쿄규동, 가격: 19,000원
메뉴: 도쿄규동(대), 가격: 22,000원
메뉴: 명란가지덮밥, 가격: 18,000원
메뉴: 명란가지덮밥(대), 가격: 22,000원
메뉴: 사이다, 가격: 2,000원
메뉴: 콜라, 가격: 2,000원
메뉴: 산가리아 라무바틀, 가격: 4,500원
메뉴: 산가리아 메론소다 500ml, 가격: 4,500원
메뉴: 아사히 캔 생맥주, 가격: 7,000원"
수타원 영통점,중식당,별점 4.38,"방문자 리뷰 1,883","블로그 리뷰 1,741",경기 수원시 영통구 봉영로1482번길 6,0.0,"메뉴: 소갈비짬뽕, 가격: 16,000원
메뉴: 해물짬뽕, 가격: 12,000원
메뉴: 굴짬뽕, 가격: 11,000원
메뉴: 삼선짜장면, 가격: 10,000원
메뉴: 양장피 小, 가격: 25,000원
메뉴: 칠리새우 小, 가격: 25,000원
메뉴: 유린기 小, 가격: 23,000원
메뉴: 낙지짬뽕, 가격: 14,000원
메뉴: 짬뽕, 가격: 10,000원
메뉴: 자장면, 가격: 7,000원
메뉴: 등심탕수육 小, 가격: 18,000원
메뉴: 깐풍기 小, 가격: 23,000원
메뉴: 유산슬 小, 가격: 30,000원
메뉴: 전가복스페셜 小, 가격: 55,000원"
그로또,양식,별점 4.63,"방문자 리뷰 4,353","블로그 리뷰 1,295",경기 수원시 영통구 청명북로 2 1층 그로또,0.0,"메뉴: 해산물 토마토 파스타, 가격: 20,000원
메뉴: 비프 토마토 파스타, 가격: 25,000원
메뉴: 슈퍼 마리오 샐러드, 가격: 19,000원
메뉴: 해산물 토마토 리조또, 가격: 20,000원
메뉴: 안심 스테이크, 가격: 55,000원"
썬프란시스코마켓,브런치,별점 4.56,"방문자 리뷰 1,093","블로그 리뷰 1,065",경기 수원시 영통구 매영로425번길 18 1층,0.0,"메뉴: 클램차우더와 치즈 브레드, 가격: 15,000원
메뉴: 썬프란시스코 피자, 가격: 17,000원
메뉴: 파스타, 가격: 18,000~21,000원
메뉴: 썬프란시스코 마켓 샐러드, 가격: 16,000원
메뉴: 그램스 새우 로제 떡볶이, 가격: 16,000원"
카페서천,"카페,디저트",별점 4.44,방문자 리뷰 880,"블로그 리뷰 1,150",경기 용인시 기흥구 서그내로49번길 13,0.0,"메뉴: 대추라떼, 가격: 6,500원
메뉴: 아메리카노, 가격: 5,000원
메뉴: 라떼, 가격: 6,000원
메뉴: 비엔나커피, 가격: 6,500원
메뉴: 트리플베리에이드, 가격: 6,500원"
투파인드피터 영통점,이탈리아음식,0.0,"방문자 리뷰 2,927","블로그 리뷰 1,656","경기 수원시 영통구 반달로 21 2층 201, 202호",0.0,
언양닭칼국수 수원영통점,"칼국수,만두",0.0,방문자 리뷰 613,블로그 리뷰 113,경기 수원시 영통구 덕영대로1555번길 16 1층 137호,0.0,"메뉴: 닭칼국수, 가격: 9,900원
메뉴: 닭곰탕(공기밥 포함), 가격: 9,900원
메뉴: 언양식칼국수, 가격: 7,500원
메뉴: 쫄깃만두, 가격: 6,000원
메뉴: 고추장찜닭(중간맛/매운맛), 가격: 27,000원
메뉴: 간장찜닭, 가격: 26,000원
메뉴: 수육, 가격: 12,000원"
